gene	log2FoldChange	padj
Gene6460	0	1
Gene6461	0.519628098	0.597529777
Gene6462	0	1
Gene6463	0	1
Gene6464	0.2474987	0.5983618
Gene6465	0.403265743	1.09E-01
Gene6466	0	1.00E+00
Gene6467	0.348151321	0.590748507
Gene6468	0	1
Gene6469	0	1
Gene6470	2.118733156	0.094630871
Gene6471	0.963151502	0.016581077
Gene6472	0.1527085	0.721604247
Gene6473	1.580136579	0.011746724
Gene6474	1.791687845	0.134279887
Gene6475	3.015358847	0.107403776
Gene6476	1.046226666	0.455814074
Gene6477	1.273328785	0.067627292
Gene6478	3.398018059	0.01169667
Gene6479	0.086748186	0.789729516
Gene6480	0.248571382	0.230480852
Gene6481	0.245910784	0.483873198
Gene6482	1.051980634	0.071682813
Gene6483	0	1
Gene6484	0.20712758	0.649368026
Gene6485	0.495355393	0.875464745
Gene6486	0.098794978	0.933598533
Gene6487	0.49601816	0.858058313
Gene6488	0.342305693	0.219232021
Gene6489	0.108408859	0.856034478
Gene6490	0.117683544	0.867493375
Gene6491	0.258769157	0.521386403
Gene6492	0	1
Gene6493	0.205828758	0.622329562
Gene6494	0	1
Gene6495	0.207125323	0.409894296
Gene6496	0.569397442	1.06E-01
Gene6497	0	1
Gene6498	0.393677864	0.303660176
Gene6499	0	1
Gene6500	0.062055155	0.785264235
Gene6501	0.064660798	0.864628888
Gene6502	1.751392007	0.145666279
Gene6503	0.968596475	0.089962644
Gene6504	0.203796724	0.360299218
Gene6505	0.0376307	8.82E-01
Gene6506	0.021101627	0.979354238
Gene6507	0.086050367	8.82E-01
Gene6508	0.064817102	0.836162779
Gene6509	0.140697534	0.594562186
Gene6510	0.0061405	0.981444461
Gene6511	0.746864606	0.089892738
Gene6512	0.05466189	0.954321033
Gene6513	0.228483733	0.491612137
Gene6514	0.378997872	0.197363893
Gene6515	0.027932754	0.922455599
Gene6516	0.012647324	0.971675348
Gene6517	0.288224507	0.403565744
Gene6518	1.215314054	0.355786778
Gene6519	0.130430375	0.675578873
Gene6520	0.054988367	0.81223954
Gene6521	3.317541944	0.063360385
Gene6522	0.300908438	0.302788442
Gene6523	2.132548651	0.37093859
Gene6524	0.338206351	0.32894661
Gene6525	0.00349914	0.99342431
Gene6526	0.297357617	0.27927082
Gene6527	0.214187746	0.649061496
Gene6528	0.132573042	0.773142147
Gene6529	0.220111263	0.323334375
Gene6530	0.4205637	0.197087747
Gene6531	0.117245962	0.625057156
Gene6532	0.216148255	0.381552172
Gene6533	0.015935809	0.969552561
Gene6534	0.287782651	0.606240144
Gene6535	0.197610354	0.662946329
Gene6536	0.367222002	0.561780372
Gene6537	1.151640606	0.076490813
Gene6538	0.662820662	0.192910266
Gene6539	0.495355393	0.875464745
Gene6540	0.031909137	0.926095292
Gene6541	0.534403712	0.065908996
Gene6542	0.162355304	6.84E-01
Gene6543	1.598560329	0.312705456
Gene6544	1.386077053	0.170020799
Gene6545	1.071924042	0.734502592
Gene6546	0.623714139	2.21E-01
Gene6547	0.986368442	0.415721068
Gene6548	0.178765697	0.770856796
Gene6549	0.526467649	0.585444454
Gene6550	0.341006436	0.379068701
Gene6551	0.153992848	0.550518679
Gene6552	0.490737737	0.181164727
Gene6553	0.505361817	0.16278971
Gene6554	0.414201977	0.171606785
Gene6555	0	1
Gene6556	0	1
Gene6557	0.59311174	0.493103729
Gene6558	0.773201324	0.162613388
Gene6559	0	1
Gene6560	0	1
Gene6561	0.616881725	0.670464088
Gene6562	1.758676367	0.081276036
Gene6563	1.517652667	0.153597925
Gene6564	0	1
Gene6565	0	1
Gene6566	0.109897002	0.646066404
Gene6567	0.495355393	0.875464745
Gene6568	0.155929516	0.346890834
Gene6569	0.897576296	0.007715062
Gene6570	0.572623842	0.514330581
Gene6571	0.450494274	0.506695596
Gene6572	0.05130008	0.894859194
Gene6573	0.135630309	0.670171059
Gene6574	0.282704827	0.663739525
Gene6575	0.585834829	0.38132964
Gene6576	0	1
Gene6577	0.332143014	0.435513134
Gene6578	1.279305654	6.63E-02
Gene6579	0.263700814	0.598673707
Gene6580	0.264578648	0.361701219
Gene6581	0	1.00E+00
Gene6582	0.353184505	0.269527773
Gene6583	0	1
Gene6584	0.554016298	0.76952535
Gene6585	0.078738176	0.785555342
Gene6586	0.332896844	0.71768272
Gene6587	0	1
Gene6588	0.462075035	2.07E-01
Gene6589	1.051147613	0.075247974
Gene6590	0	1
Gene6591	0.004176537	0.994559388
Gene6592	0.318287021	0.321698626
Gene6593	0.033442831	0.884472667
Gene6594	0.11473114	0.741996115
Gene6595	0.331930572	0.369032979
Gene6596	1.297564978	0.059953771
Gene6597	0	1
Gene6598	0.197022509	0.480026659
Gene6599	0.149607362	0.7823033
Gene6600	0.579946515	0.825776877
Gene6601	1.147963955	0.320160335
Gene6602	0.594030366	0.403151751
Gene6603	0.518963772	0.110888369
Gene6604	0.735183186	0.026564748
Gene6605	1.057499942	1
Gene6606	0	1
Gene6607	0.494733361	1.10E-01
Gene6608	0.439866298	0.46804671
Gene6609	0.20902489	0.588338475
Gene6610	0.047442615	0.910689115
Gene6611	1.145412644	0.076098063
Gene6612	0.317990343	0.293423957
Gene6613	0.391620713	0.550597646
Gene6614	0.024255819	0.932512997
Gene6615	0.793646432	0.224994558
Gene6616	0.17061907	0.811650412
Gene6617	0.070087609	0.829609946
Gene6618	0.040101265	0.861063496
Gene6619	0	1
Gene6620	1.071924042	0.734502592
Gene6621	0.271015074	0.179078611
Gene6622	0.103323384	0.818119498
Gene6623	0.276827629	4.31E-01
Gene6624	0.573494841	0.019575264
Gene6625	0.91684057	0.224072063
Gene6626	0.279201851	0.645041409
Gene6627	0.834866307	0.156166502
Gene6628	0.398328819	0.38196709
Gene6629	0.133696086	0.830086357
Gene6630	0.347053081	0.191995706
Gene6631	0.357221201	0.369028985
Gene6632	0.745628277	0.315018659
Gene6633	0.254201957	0.178511071
Gene6634	0.216191053	0.437639302
Gene6635	0.764747663	0.33695443
Gene6636	0.120483596	0.59242629
Gene6637	1.071924042	0.734502592
Gene6638	1.66693482	0.086075818
Gene6639	0	1
Gene6640	0.175899631	0.349553163
Gene6641	0.843981813	0.095695501
Gene6642	0.878649854	0.508679883
Gene6643	0	1
Gene6644	0.675386868	0.525817903
Gene6645	0.055826155	0.942314598
Gene6646	0.385427961	0.254596927
Gene6647	0.145093094	0.7330461
Gene6648	0.994094112	0.397792725
Gene6649	0.454357955	0.711766729
Gene6650	0.159864375	0.588943905
Gene6651	0.238883414	0.274626607
Gene6652	0.495355393	0.875464745
Gene6653	0.281061501	4.03E-01
Gene6654	0.075610042	0.916814553
Gene6655	0.507039878	0.246274603
Gene6656	0.01921928	0.965682331
Gene6657	0.647291103	0.42842892
Gene6658	0.297312733	0.534152325
Gene6659	0.556714549	0.603999158
Gene6660	0.082488594	0.859381537
Gene6661	0.740384166	0.120649912
Gene6662	0.859222956	0.204561861
Gene6663	0.620784398	0.338119573
Gene6664	0.049435128	0.906551513
Gene6665	0.844020838	0.169415183
Gene6666	0	1
Gene6667	0.085064026	0.745905388
Gene6668	0.744328788	0.056741747
Gene6669	0.278146723	0.310932204
Gene6670	1.552145973	0.18120057
Gene6671	0.405820193	5.63E-01
Gene6672	0.519929987	0.191475034
Gene6673	0	1
Gene6674	0.047653645	0.873629267
Gene6675	0.270930135	0.558000177
Gene6676	0.959953702	6.08E-02
Gene6677	0.262311252	0.495770955
Gene6678	1.018291362	0.217033388
Gene6679	0.087495214	0.844180752
Gene6680	0.751362213	0.32620339
Gene6681	0.142322077	0.481732726
Gene6682	0.131254269	0.524002033
Gene6683	1.555616899	0.050934039
Gene6684	0.385371883	0.375107511
Gene6685	0.273652911	0.466656827
Gene6686	0.6775182	0.235576193
Gene6687	0.212970094	0.717095785
Gene6688	0.259199655	0.723019846
Gene6689	0.298370598	0.664488992
Gene6690	0.377802252	0.15720639
Gene6691	0.207973863	0.232385054
Gene6692	0.665522067	0.070942296
Gene6693	0.465880458	0.595470213
Gene6694	0	1
Gene6695	0.627344252	0.368667337
Gene6696	0.292191523	0.33109195
Gene6697	0.438901162	0.623875346
Gene6698	0	1
Gene6699	0	1
Gene6700	1.009731832	0.233416185
Gene6701	0.740950861	0.441001177
Gene6702	1.073133602	0.734212551
Gene6703	0.200591735	0.604950961
Gene6704	0	1
Gene6705	0	1
Gene6706	0	1
Gene6707	0.215769776	0.775883276
Gene6708	0	1
Gene6709	0.391194007	0.297623982
Gene6710	0.209784356	0.392031776
Gene6711	0.121788306	0.903664214
Gene6712	0	1.00E+00
Gene6713	0.19417219	0.530172283
Gene6714	0.780974478	0.014664739
Gene6715	0	1
Gene6716	0.685993173	0.10931165
Gene6717	0	1
Gene6718	0.502492788	0.152165362
Gene6719	0.54631104	0.207951952
Gene6720	0.191723301	0.447065574
Gene6721	0.081642105	0.671395474
Gene6722	0.450646633	0.721196255
Gene6723	0.195638087	0.532716244
Gene6724	0	1
Gene6725	0.091225866	0.862585068
Gene6726	0.098029439	0.862650663
Gene6727	0.438652374	0.733432552
Gene6728	0.068753392	0.799835923
Gene6729	0.211967233	0.651054224
Gene6730	0.26887893	0.374992298
Gene6731	0.022881704	0.885810922
Gene6732	1.233286411	0.436208382
Gene6733	0.303827143	0.447217564
Gene6734	0.282395161	0.466920291
Gene6735	0.66384763	0.581567265
Gene6736	0.151902154	0.607561673
Gene6737	0.182364382	0.903404985
Gene6738	0.756530291	0.176967279
Gene6739	0.200715346	0.548411992
Gene6740	1.071924042	0.734502592
Gene6741	1.737808257	0.578858004
Gene6742	0.256508167	0.829430137
Gene6743	0.612356578	1
Gene6744	0.104229265	7.33E-01
Gene6745	0.033595864	0.93110388
Gene6746	0.595373796	0.059328205
Gene6747	0.118067794	0.541625371
Gene6748	0.06341202	0.770379803
Gene6749	0.234129935	0.591319254
Gene6750	0.495355393	0.875464745
Gene6751	0.267836553	3.53E-01
Gene6752	1.111580149	0.033053317
Gene6753	0.395862526	0.627761949
Gene6754	0.352107445	0.332164971
Gene6755	0.639805321	0.527739614
Gene6756	0.608106291	0.627446412
Gene6757	0.325552232	0.506787284
Gene6758	0.253551061	0.660517092
Gene6759	0.39717253	0.411923375
Gene6760	0.079353448	0.797987175
Gene6761	0.235793653	0.381643625
Gene6762	0.234549361	0.474512809
Gene6763	0.494868273	0.867121782
Gene6764	0.33915612	0.295564327
Gene6765	0	1
Gene6766	0	1
Gene6767	0.13340367	0.602304299
Gene6768	0.533582208	0.661490063
Gene6769	1.218774931	0.188499046
Gene6770	0.674964334	0.239286709
Gene6771	1.153176901	0.661984831
Gene6772	0.028554402	0.881602042
Gene6773	0.705834689	0.097578348
Gene6774	0.495355393	0.875464745
Gene6775	0.603184446	0.167246196
Gene6776	0.432272394	0.624424869
Gene6777	0.30971642	0.800604976
Gene6778	0.190166638	0.755681471
Gene6779	0.29715812	0.571795698
Gene6780	1.273739064	0.300362516
Gene6781	0.494882813	0.858724403
Gene6782	0.185664733	0.592482284
Gene6783	0.783228001	0.147515985
Gene6784	0.759690027	0.203004757
Gene6785	0.21182417	0.405161347
Gene6786	0.7966822	0.692878965
Gene6787	0.059553861	0.907189415
Gene6788	0.236473814	0.909534525
Gene6789	0.667048742	0.133815754
Gene6790	0.59112774	0.115508628
Gene6791	0.411448296	0.726926548
Gene6792	0.495355393	0.875464745
Gene6793	0.154993591	0.787304742
Gene6794	0.036600614	0.941078727
Gene6795	1.723699036	0.062240045
Gene6796	0.228256115	0.797871939
Gene6797	0.062532753	0.79248874
Gene6798	0.080921659	0.773966611
Gene6799	0.236649182	0.610167008
Gene6800	0.067632753	0.753279353
Gene6801	0.11034078	0.721068655
Gene6802	0.694899123	0.154966606
Gene6803	0.872005681	0.447010646
Gene6804	1.399363143	0.073172282
Gene6805	0.495355393	0.875464745
Gene6806	0.495355393	0.875464745
Gene6807	0	1
Gene6808	0	1
Gene6809	0	1
Gene6810	0.406304255	0.344696672
Gene6811	0.495355393	0.875464745
Gene6812	0.535347515	0.07770342
Gene6813	0	1
Gene6814	0	1
Gene6815	0	1
Gene6816	0	1
Gene6817	0	1
Gene6818	0	1
Gene6819	0.481400158	0.105883928
Gene6820	0	1
Gene6821	0.209896015	0.605595491
Gene6822	0	1
Gene6823	0	1
Gene6824	0	1
Gene6825	0.257570281	0.471306783
Gene6826	0.307680669	0.445575408
Gene6827	0.243752043	0.516119688
Gene6828	0.324637267	0.135518407
Gene6829	0.476027709	0.133181519
Gene6830	1.277997935	0.343559917
Gene6831	0.107740592	0.855415773
Gene6832	0.845965016	0.209523498
Gene6833	0.031028637	0.899843428
Gene6834	0.061136271	0.809461049
Gene6835	0.010810817	0.965491804
Gene6836	0.365884661	0.146727448
Gene6837	0.310220894	0.27481478
Gene6838	0.340849574	0.418205917
Gene6839	0.048222925	0.865440211
Gene6840	0.342792786	0.3495509
Gene6841	0.495355393	0.875464745
Gene6842	0.461952117	0.387987559
Gene6843	0.590291841	0.559561753
Gene6844	0.180410438	0.323826657
Gene6845	0	1
Gene6846	0.88527956	0.099350735
Gene6847	0	1
Gene6848	0	1
Gene6849	0.940681515	0.072041457
Gene6850	0	1
Gene6851	0	1
Gene6852	0	1
Gene6853	0.344178567	0.546495957
Gene6854	0.508677001	0.402589676
Gene6855	0.6742262	0.422586814
Gene6856	0.218191412	0.485913696
Gene6857	0.495355393	0.875464745
Gene6858	0.604463572	0.382719353
Gene6859	0	1
Gene6860	0	1
Gene6861	0	1
Gene6862	0.751210559	0.20550321
Gene6863	0.116375469	0.67130646
Gene6864	0.444947098	0.326688388
Gene6865	0.779893449	0.265129331
Gene6866	0	1
Gene6867	0	1
Gene6868	1.115743523	0.015128886
Gene6869	1.048697621	0.549041845
Gene6870	0	1
Gene6871	0	1
Gene6872	0	1
Gene6873	0.099171513	0.776651908
Gene6874	0	1
Gene6875	0	1
Gene6876	0.347343721	0.331077781
Gene6877	0.107880569	0.768602187
Gene6878	2.216070224	0.040375731
Gene6879	0.495355393	0.875464745
Gene6880	0	1
Gene6881	0.290876983	0.466720069
Gene6882	0	1
Gene6883	1.030193944	0.007035051
Gene6884	0	1
Gene6885	0.046523767	0.956440676
Gene6886	0.560931054	0.426328767
Gene6887	0	1
Gene6888	0	1
Gene6889	0.85189133	0.237417211
Gene6890	0.553857716	0.208452114
Gene6891	0.038482134	0.857826622
Gene6892	0	1
Gene6893	0.122654768	0.886072157
Gene6894	0	1
Gene6895	0	1
Gene6896	0.309706368	0.387190459
Gene6897	0	1
Gene6898	0.021428268	0.98460073
Gene6899	0.098898	0.821962155
Gene6900	0.004468908	0.985885608
Gene6901	0	1
Gene6902	0.041382565	0.853865551
Gene6903	0.135012748	0.652910285
Gene6904	0.130186371	0.628528533
Gene6905	0.124337038	0.717718055
Gene6906	0.501284464	0.570307878
Gene6907	0.139401857	0.731055492
Gene6908	1.592549599	0.307431492
Gene6909	0.466047609	0.12752126
Gene6910	0	1
Gene6911	0	1
Gene6912	0.495355393	0.875464745
Gene6913	0.203019991	0.497390624
Gene6914	0	1
Gene6915	0.494875938	0.862645364
Gene6916	0	1
Gene6917	0.298217131	0.302437256
Gene6918	0.214568699	0.615174334
Gene6919	0.031718166	0.934766519
Gene6920	0	1
Gene6921	0	1
Gene6922	0	1
Gene6923	0	1
Gene6924	1.428842669	0.029857098
Gene6925	0	1
Gene6926	0.588680366	0.844802832
Gene6927	0.505538725	0.795572935
Gene6928	0	1
Gene6929	1.043033214	0.259893699
Gene6930	0.117051457	0.749539419
Gene6931	0.121783361	0.942874774
Gene6932	0.037624089	0.898660749
Gene6933	2.603360437	0.26226669
Gene6934	0.765727105	0.569760941
Gene6935	0.627531046	0.59055409
Gene6936	0.047435467	0.931170026
Gene6937	0.495355393	0.875464745
Gene6938	0.345765788	0.357936521
Gene6939	1.000937711	0.16813823
Gene6940	0.935278618	0.239143229
Gene6941	0	1
Gene6942	0.48851503	0.049844733
Gene6943	1.348099493	0.55996466
Gene6944	0	1
Gene6945	0.160212569	0.691660281
Gene6946	0	1
Gene6947	0.113746195	0.588591369
Gene6948	0.613037543	5.44E-02
Gene6949	0	1
Gene6950	1.488463506	0.143779857
Gene6951	2.197874334	0.478710051
Gene6952	0.581117641	0.539377927
Gene6953	0	1
Gene6954	0.055448448	0.833296098
Gene6955	0.903502117	0.163694518
Gene6956	0.514886617	0.141868865
Gene6957	0.096277516	0.705867975
Gene6958	0.560585795	0.533471139
Gene6959	0.287294949	0.252438537
Gene6960	0.394517061	0.847322038
Gene6961	0.103469161	0.629288628
Gene6962	0.495355393	0.875464745
Gene6963	0.554609941	0.186354449
Gene6964	0	1
Gene6965	0.949635695	0.128632497
Gene6966	0.707785673	0.379281232
Gene6967	1.748418533	0.26868323
Gene6968	0.476862038	0.543957284
Gene6969	0	1
Gene6970	0.17340964	0.729434711
Gene6971	0.99109609	0.121105257
Gene6972	1.674989218	0.210510875
Gene6973	0.564641849	0.683642197
Gene6974	0.880779123	0.751776217
Gene6975	0.258609046	0.500897204
Gene6976	0.412698256	0.40406952
Gene6977	0.115945412	0.832090315
Gene6978	0.588264951	0.187064757
Gene6979	0.053023758	0.910556725
Gene6980	0.043247414	0.926884631
Gene6981	0.070309691	0.695636637
Gene6982	0.524229768	0.215382078
Gene6983	0	1
Gene6984	1.725089961	0.05643359
Gene6985	0.070144747	0.812890526
Gene6986	0.818600356	0.016360213
Gene6987	0.192246047	0.344154261
Gene6988	0.495355393	0.875464745
Gene6989	1.380939415	0.051365381
Gene6990	1.132448093	0.663745889
Gene6991	0.005016782	0.998594444
Gene6992	1.707038767	0.19639651
Gene6993	0.155644164	0.662298965
Gene6994	0.338835695	0.179065583
Gene6995	0.121065913	0.577452813
Gene6996	0.100786275	0.797647282
Gene6997	0.59109392	0.116135666
Gene6998	1.071251836	0.734663796
Gene6999	0.850226332	0.089491549
Gene7000	0.094962917	0.790529262
Gene7001	0.069321302	0.85337759
Gene7002	0.152565396	0.558960184
Gene7003	0.489559908	0.789070584
Gene7004	1.990024089	0.448670561
Gene7005	0.511427242	0.396725042
Gene7006	0.394641968	0.225183322
Gene7007	0	1
Gene7008	0	1
Gene7009	0.065030149	0.945661581
Gene7010	1.080112299	0.05146405
Gene7011	0.62216244	0.386846379
Gene7012	0.082997682	0.655823116
Gene7013	0.360104211	0.607975411
Gene7014	0.179140109	0.586009562
Gene7015	0.761194724	0.441778193
Gene7016	0.267248064	0.271737512
Gene7017	1.741526457	0.393026732
Gene7018	0.15997036	0.487637993
Gene7019	0	1
Gene7020	0	1
Gene7021	1.941513728	0.422606022
Gene7022	0	1
Gene7023	0.280006145	0.510875268
Gene7024	0.205028141	0.540298904
Gene7025	0.096880922	0.837509785
Gene7026	0.099508453	0.710674053
Gene7027	0.266429508	0.397722354
Gene7028	0	1
Gene7029	0	1
Gene7030	0.221121428	0.524744644
Gene7031	0.063351599	0.792212779
Gene7032	0.349493002	0.693785348
Gene7033	0.926704952	0.0810401
Gene7034	0.204646469	0.434873491
Gene7035	0.228217783	0.575273666
Gene7036	1.038165647	0.18564856
Gene7037	0.282844585	0.62263702
Gene7038	0	1
Gene7039	0.155437906	0.942267009
Gene7040	0.142859057	0.686120939
Gene7041	0.42793615	0.061533685
Gene7042	0.495355393	0.875464745
Gene7043	0.108267875	0.696797015
Gene7044	0	1
Gene7045	0	1
Gene7046	0	1
Gene7047	0.442923588	0.224723688
Gene7048	0	1
Gene7049	0.285299659	0.510545016
Gene7050	0	1
Gene7051	0.242378412	0.473958171
Gene7052	0.589929502	0.081487878
Gene7053	0.121511269	0.798521615
Gene7054	0.614675617	0.163187563
Gene7055	1.102923873	0.533647052
Gene7056	0.171864735	0.756780847
Gene7057	0	1
Gene7058	0.825379757	0.731118879
Gene7059	0	1
Gene7060	0.753538179	0.021655141
Gene7061	1.409032814	0.017581682
Gene7062	0.86733515	0.067141964
Gene7063	0.311069029	0.730182736
Gene7064	0.206245315	0.338027956
Gene7065	0.420989558	0.149118302
Gene7066	0	1
Gene7067	0.574362519	0.126859316
Gene7068	1.077233939	0.473155428
Gene7069	0.617824327	0.083771228
Gene7070	0.586794274	0.040847595
Gene7071	0.491431413	0.052337474
Gene7072	1.073133602	0.734212551
Gene7073	0.557115383	5.18E-01
Gene7074	2.410941705	0.322148131
Gene7075	0	1
Gene7076	0.675498762	0.002406907
Gene7077	2.080719831	0.422455717
Gene7078	0.139612999	0.671047827
Gene7079	0	1
Gene7080	0	1
Gene7081	0.020256165	0.963263363
Gene7082	3.434779371	0.103038385
Gene7083	1.073133602	0.734212551
Gene7084	1.523532311	0.047107267
Gene7085	0.298740877	0.353476926
Gene7086	0.778619079	0.22658042
Gene7087	0.071851142	0.733126992
Gene7088	0	1
Gene7089	0.770999188	0.298693441
Gene7090	1.176051992	0.413500116
Gene7091	0	1
Gene7092	0.168955834	0.630207762
Gene7093	0.786723255	0.02905646
Gene7094	0.66500633	0.349785093
Gene7095	1.071924042	0.734502592
Gene7096	1.171275846	0.267321532
Gene7097	0	1
Gene7098	0.95612699	0.359261667
Gene7099	0.381192269	0.128782398
Gene7100	0.300590591	0.56197187
Gene7101	0.267140309	0.490748656
Gene7102	0.136945868	0.892295982
Gene7103	0	1
Gene7104	0.677827937	0.037310085
Gene7105	1.941204401	0.426471997
Gene7106	0.762977408	0.08783653
Gene7107	0	1
Gene7108	0.528107032	0.429165741
Gene7109	0.764763296	0.115479125
Gene7110	0.095723226	0.758638733
Gene7111	0.495355393	0.875464745
Gene7112	0.334957383	0.181208028
Gene7113	0.053632626	0.920527555
Gene7114	0.591266853	0.516038817
Gene7115	0.078171661	0.802839898
Gene7116	0.341092112	0.468725276
Gene7117	0.495355393	0.875464745
Gene7118	1.853494816	8.15E-02
Gene7119	0	1
Gene7120	0	1
Gene7121	0.959311936	0.693899198
Gene7122	0	1
Gene7123	0.24227871	0.612389152
Gene7124	0	1
Gene7125	0.780973286	0.051422441
Gene7126	0.791981407	0.252729592
Gene7127	0	1
Gene7128	0.104903445	0.828686257
Gene7129	2.446802038	0.428555276
Gene7130	0	1
Gene7131	0	1
Gene7132	0	1
Gene7133	0.387734389	0.25137012
Gene7134	0.721763241	0.115227931
Gene7135	1.122516602	0.182930235
Gene7136	0.255211285	0.534073521
Gene7137	1.942611525	0.014435065
Gene7138	0.321892568	0.602252255
Gene7139	0.443135065	2.47E-01
Gene7140	0.188268816	0.20469495
Gene7141	0	1
Gene7142	0.11049231	0.745825545
Gene7143	0.495355393	0.875464745
Gene7144	1.233484176	0.384289419
Gene7145	0	1
Gene7146	0.119607741	0.80945799
Gene7147	0.250155983	0.647670012
Gene7148	0.007668979	0.987008607
Gene7149	0.576207555	0.09746415
Gene7150	0.797494572	0.026447319
Gene7151	0.459902871	0.231082142
Gene7152	0	1.00E+00
Gene7153	0.079969307	0.775604361
Gene7154	0	1
Gene7155	0	1
Gene7156	0.538197232	0.361319135
Gene7157	1.307176541	0.608830742
Gene7158	0.261383856	0.598562664
Gene7159	0	1
Gene7160	1.200113773	0.046845317
Gene7161	3.299200531	0.013133965
Gene7162	0.128612407	0.884736735
Gene7163	0	1
Gene7164	0.214361573	0.305272489
Gene7165	0	1
Gene7166	1.145249876	0.177938993
Gene7167	0.621100189	0.622013106
Gene7168	0	1
Gene7169	0.404679302	0.094517906
Gene7170	0.387590079	0.692967207
Gene7171	0.47944063	0.810377218
Gene7172	0.659804466	0.18658469
Gene7173	0	1
Gene7174	0	1
Gene7175	0.166574092	0.796463154
Gene7176	0.495355393	0.875464745
Gene7177	0.275279914	0.129664556
Gene7178	0.400087611	0.570981818
Gene7179	0.642570479	0.119892738
Gene7180	0.179310279	0.554830746
Gene7181	0.105790628	0.863081014
Gene7182	0.261844961	0.391909034
Gene7183	0.304863762	0.09929314
Gene7184	1.051384999	0.015816788
Gene7185	0	1
Gene7186	0	1
Gene7187	0.49685029	0.143374407
Gene7188	0	1
Gene7189	0.500094954	0.132227533
Gene7190	0	1
Gene7191	0	1
Gene7192	1.140767947	0.043526445
Gene7193	0	1
Gene7194	0.0263813	0.91839133
Gene7195	0.005191095	0.989862094
Gene7196	0.495355393	0.875464745
Gene7197	1.326431342	0.015973686
Gene7198	0.549127167	0.468708516
Gene7199	0.116143843	0.590822233
Gene7200	1.95240987	0.015010796
Gene7201	0.286813655	0.459978756
Gene7202	1.415304656	6.53E-01
Gene7203	0.292214114	0.494624013
Gene7204	0.237879441	0.577339629
Gene7205	1.504637637	0.046704594
Gene7206	1.097609935	0.551683364
Gene7207	0.184458281	0.670365983
Gene7208	0	1
Gene7209	0.235952132	0.589602583
Gene7210	1.412138242	0.042786633
Gene7211	1.071251836	0.734663796
Gene7212	0.212400814	0.555236323
Gene7213	0	1
Gene7214	0	1
Gene7215	0.299478811	0.38335431
Gene7216	1.059946107	0.274762649
Gene7217	0	1
Gene7218	0.50584869	0.024617747
Gene7219	0.863981486	0.076854763
Gene7220	0.374506001	0.544060028
Gene7221	0	1
Gene7222	0.61367592	0.474935607
Gene7223	0.240774302	0.697026446
Gene7224	0.956928579	0.001086448
Gene7225	0.068212791	0.773166239
Gene7226	0.841602154	0.277274139
Gene7227	0.808965822	0.3701223
Gene7228	0.095466731	0.641457044
Gene7229	0	1
Gene7230	0	1
Gene7231	1.020697951	0.702847052
Gene7232	0.495355393	0.875464745
Gene7233	0.600828805	0.326001772
Gene7234	0.321956661	0.349149897
Gene7235	0	1
Gene7236	0	1
Gene7237	0.113147986	0.614281828
Gene7238	0.359902033	0.640465568
Gene7239	0.194676594	0.520530822
Gene7240	1.512938402	0.023827181
Gene7241	0.102284989	0.678983429
Gene7242	0.302833605	0.415258255
Gene7243	0	1
Gene7244	1.633059466	0.472611553
Gene7245	0.148371341	0.858794978
Gene7246	0.003420593	0.984936569
Gene7247	0	1
Gene7248	0.804507708	0.123601852
Gene7249	0.154038733	0.568949235
Gene7250	0.075347259	0.78398222
Gene7251	0.107425356	0.700918301
Gene7252	0.461891761	0.40251779
Gene7253	0.281991309	0.419494392
Gene7254	0.073714423	0.771526134
Gene7255	1.504140752	0.632765088
Gene7256	0	1
Gene7257	0.762378238	0.097786623
Gene7258	0.50813835	0.211013908
Gene7259	0.295420641	0.477258254
Gene7260	0.184934342	0.659904282
Gene7261	0.428238694	1.91E-01
Gene7262	0	1
Gene7263	0.392187636	0.507942672
Gene7264	0.360206476	0.636153535
Gene7265	0.334866045	0.519080739
Gene7266	1.084145148	0.589921159
Gene7267	0.425038305	0.525478731
Gene7268	0.722268532	0.107853651
Gene7269	0.311867924	0.456318901
Gene7270	0.495355393	0.875464745
Gene7271	1.103550747	0.173806913
Gene7272	0.508711926	0.301187294
Gene7273	0	1
Gene7274	0.442809385	0.112595435
Gene7275	1.071251836	0.734663796
Gene7276	0.752309913	7.06E-01
Gene7277	0	1
Gene7278	0.036815167	0.986165403
Gene7279	0.821722538	0.149848032
Gene7280	0.162367121	0.837900089
Gene7281	0.487772297	0.501459462
Gene7282	1.123378993	0.500823721
Gene7283	0.294980922	0.140014214
Gene7284	0.880132324	0.107781968
Gene7285	0	1
Gene7286	0	1
Gene7287	0	1
Gene7288	0.428534459	0.217984094
Gene7289	0	1
Gene7290	0.085973219	0.864608468
Gene7291	0	1
Gene7292	0.994992275	0.026447411
Gene7293	0	1
Gene7294	0	1
Gene7295	2.681597223	0.261249756
Gene7296	1.902565344	0.317085018
Gene7297	0	1
Gene7298	0	1
Gene7299	0.31174701	0.343286249
Gene7300	1.303092393	0.053719977
Gene7301	0	1
Gene7302	0.47665527	0.227954701
Gene7303	0.442732028	0.123454612
Gene7304	1.110159971	0.045219335
Gene7305	0.155376192	0.436342378
Gene7306	0	1
Gene7307	0.027929661	0.923803222
Gene7308	0.107433574	0.723883227
Gene7309	0.813195189	0.136584632
Gene7310	0	1
Gene7311	0.204652419	0.549793589
Gene7312	0	1
