gene	log2FoldChange	padj
Gene334	0.347381854	0.40177468
Gene335	1.486002005	0.002421363
Gene336	1.023952878	0.090632233
Gene337	0.079652331	0.839189524
Gene338	0	1
Gene339	0.076483594	0.831603933
Gene340	1.030522103	0.016484324
Gene341	0.708901062	8.81E-02
Gene342	0.777295394	2.78E-02
Gene343	0.274502512	0.406751645
Gene344	0.421911302	0.542418032
Gene345	0.106999222	0.547649011
Gene346	0.029309372	0.948110726
Gene347	0.753274533	0.200272031
Gene348	0.335534698	0.592879893
Gene349	0.200200272	0.405274657
Gene350	0.210324376	0.320097716
Gene351	0.141136079	0.729986903
Gene352	0.452812508	0.108593159
Gene353	0.31858789	0.307450454
Gene354	0.331433261	0.331457781
Gene355	0.601246523	0.160337584
Gene356	0.101380876	0.939931241
Gene357	0.450941617	0.504722885
Gene358	0.785667945	0.162509063
Gene359	1.25257123	0.259234261
Gene360	0	1
Gene361	0.299394618	3.67E-01
Gene362	0.892358422	0.060673989
Gene363	0.227018035	0.220708341
Gene364	0.034733973	0.871592469
Gene365	0.668721282	0.678222816
Gene366	1.115991266	0.293836841
Gene367	0.968744967	0.125745605
Gene368	0.282090628	0.274181731
Gene369	0.03806601	0.877180469
Gene370	0.339381557	0.347439513
Gene371	0.35885587	0.181866359
Gene372	0.156608054	0.66315759
Gene373	0	1
Gene374	0.862450032	0.057687494
Gene375	0.034461485	0.883222382
Gene376	0.014682339	0.956201325
Gene377	0.080564936	0.55658219
Gene378	0	1
Gene379	1.447865049	0.151016027
Gene380	0.586850166	0.626776989
Gene381	0.099187479	0.620210056
Gene382	0.077264107	0.836991963
Gene383	0.402163572	0.490041141
Gene384	0.007549721	0.974262206
Gene385	0.461557279	0.746731805
Gene386	0.689350495	0.194598393
Gene387	0.480612743	0.424793515
Gene388	1.548399053	0.128108551
Gene389	0.151987987	0.640105235
Gene390	0.143191523	0.706226276
Gene391	1.51908878	0.266091942
Gene392	0.756120388	0.042853725
Gene393	0.090589671	0.72598857
Gene394	0.132836644	0.808496996
Gene395	0.84513185	0.098132511
Gene396	0.251627172	0.586845113
Gene397	0.16641584	0.423367291
Gene398	1.373115448	0.046532327
Gene399	0.26588942	0.436166439
Gene400	0.723607415	0.298492179
Gene401	0.098827081	0.802708508
Gene402	0.038534687	0.95047576
Gene403	0.098002187	0.865365153
Gene404	0.495250491	0.277186107
Gene405	0.926026731	0.075340607
Gene406	0.185419979	0.555048564
Gene407	0.52636513	0.03971895
Gene408	0.765760464	0.049522624
Gene409	1.025240164	4.98E-01
Gene410	0.72531369	0.080997557
Gene411	0.231148388	0.254495479
Gene412	0.27358381	0.493911253
Gene413	0.071784529	0.853896266
Gene414	0.003663955	0.993184747
Gene415	0.298022861	0.607495251
Gene416	1.834514951	0.005773542
Gene417	0.546357649	0.324217721
Gene418	0.226189289	0.499004451
Gene419	0.182645835	0.304232548
Gene420	0.765996324	0.635223062
Gene421	0.42724134	0.349916212
Gene422	0.331623468	0.265290779
Gene423	0.82972966	0.197934006
Gene424	0.313637213	0.183014081
Gene425	0.303043071	0.145010016
Gene426	1.160209171	0.04694567
Gene427	0.228472992	0.635586009
Gene428	0.361317374	0.374745521
Gene429	0.535058617	0.12737146
Gene430	0.284452217	0.185581694
Gene431	0.173899192	0.710968614
Gene432	0.842568639	0.126496711
Gene433	0.069681639	0.835975606
Gene434	0	1
Gene435	0.233025309	0.540254434
Gene436	0.883597805	0.174910818
Gene437	0.422643818	0.123927148
Gene438	0.393708913	0.480395385
Gene439	0.145238118	0.741746642
Gene440	0.01176386	0.991670466
Gene441	0.218315346	0.54258779
Gene442	0.069806088	0.763889991
Gene443	0.407615536	0.242973309
Gene444	0.745951137	0.316451032
Gene445	0	1
Gene446	0.074346757	0.815993931
Gene447	0.455615154	0.305002445
Gene448	0.080679741	0.678675144
Gene449	0.366513463	0.28634702
Gene450	1.05803441	0.531942816
Gene451	0.70848371	0.432999936
Gene452	0.238381633	0.485465707
Gene453	0.189977741	0.450278632
Gene454	0	1
Gene455	0.127046912	0.830002914
Gene456	0.343737618	0.179893792
Gene457	0.678531835	0.043942881
Gene458	0.251872699	0.196151538
Gene459	0.911528477	0.203880395
Gene460	0.451488487	0.382148555
Gene461	0.495355393	0.875464745
Gene462	0.014479059	0.92695962
Gene463	0.262979329	0.242804178
Gene464	0.24105812	0.42775804
Gene465	0.36413643	0.34096529
Gene466	0.308478008	0.181803556
Gene467	0.517547692	0.050069266
Gene468	0.480256388	0.154683459
Gene469	0.220124296	0.62941111
Gene470	0.256023121	0.424226762
Gene471	0.55787487	0.21517566
Gene472	0.64077219	0.156510568
Gene473	0.39269789	0.145583247
Gene474	0.531823056	0.38767532
Gene475	0.243833741	4.80E-01
Gene476	0.246563425	0.61106438
Gene477	0.01325142	0.978340684
Gene478	0.323482354	0.268634179
Gene479	0.373055266	0.401472023
Gene480	0.267662282	3.53E-01
Gene481	0.818463552	0.367983309
Gene482	0.324134421	0.361196091
Gene483	1.921686976	0.469290019
Gene484	1.133094605	0.185647596
Gene485	0.201538573	0.595948879
Gene486	0.090282606	0.746556515
Gene487	0.603816956	0.296139798
Gene488	0.174919758	0.468003538
Gene489	0.52230879	0.379388606
Gene490	0.045790622	0.789099624
Gene491	0	1
Gene492	0.253360712	0.701666637
Gene493	0.022428438	9.36E-01
Gene494	0.587228255	0.152063437
Gene495	0	1
Gene496	0.357054934	0.162394555
Gene497	0.233075228	0.557800886
Gene498	0.309611432	0.279702045
Gene499	0.210477151	0.449480972
Gene500	0.087993052	0.923294175
Gene501	1.154879737	0.087538371
Gene502	0.180574599	0.740090687
Gene503	0.416544158	0.060248437
Gene504	0.971780528	0.291466942
Gene505	0.083209083	0.714334982
Gene506	0.234421873	0.695648419
Gene507	0.122659851	0.601152024
Gene508	0.133735594	0.597828367
Gene509	0.456448931	0.272459066
Gene510	0.46729134	0.089185603
Gene511	0.082004223	0.82961433
Gene512	0.765149444	0.093105884
Gene513	1.69367879	0.244684425
Gene514	0.213172438	0.310302317
Gene515	0.424059838	1
Gene516	1.203466248	0.089931928
Gene517	0.338026317	0.477464679
Gene518	0.385879034	0.302892622
Gene519	0.884248068	0.02834727
Gene520	0.270866328	0.173564898
Gene521	0.390942402	0.090025678
Gene522	0.711382684	0.133070401
Gene523	0.206676809	0.54604219
Gene524	0.695983312	0.048254588
Gene525	0	1
Gene526	0.96283666	0.301337877
Gene527	0.378124505	0.292607657
Gene528	0.579226528	0.187874845
Gene529	0.761006889	0.233563641
Gene530	0.044300889	0.803630432
Gene531	0.739484649	0.143171712
Gene532	0.660631572	0.072816176
Gene533	0.45770613	0.049378734
Gene534	4.034620852	0.037547444
Gene535	0	1
Gene536	0.656866657	0.174007081
Gene537	0.145619627	0.733025011
Gene538	0.284935055	0.290973418
Gene539	0.345542342	0.73663069
Gene540	0.174075476	0.751241322
Gene541	0.382799168	0.675937737
Gene542	0.16584116	0.667138727
Gene543	0.089660902	0.822716646
Gene544	0.123676268	0.751189542
Gene545	0.730867968	0.044080879
Gene546	0.551393108	0.140389778
Gene547	0.077657325	0.754154131
Gene548	0.951319346	0.043987481
Gene549	0	1
Gene550	0.107860011	0.67060772
Gene551	0.261411349	0.431117617
Gene552	0.368459176	0.748474181
Gene553	1.884995082	0.151420575
Gene554	0.600379776	0.050361096
Gene555	0.061537898	8.00E-01
Gene556	0.444303004	0.132891218
Gene557	0.952960078	0.214572364
Gene558	0	1
Gene559	0.034413048	0.955587598
Gene560	0.149380928	0.616327172
Gene561	0.701847977	0.067564451
Gene562	0.023510241	0.931905952
Gene563	0.068177628	0.902893236
Gene564	0.853764832	0.067449174
Gene565	0.707287291	0.25758902
Gene566	0.30693834	0.370030981
